event_idx,symbol,group,date,hour,exchange,pair,event_utc,binance_available,binance_detail,kucoin_available,kucoin_detail,gate_available,gate_detail,okx_available,okx_detail,venues_available,cleared
0,NAS,BPF,2020-12-23,18:00,binance,NAS/BTC,2020-12-23T18:00:00Z,True,HEAD 200 NASBTC-1m-2020-12.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),1,False
1,PAX,ATW,2019-05-08,17:00,yobit,PAX/BTC,2019-05-08T17:00:00Z,False,HEAD 404 PAXBTC-1m-2019-05.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,True,60 candles in window,1,False
2,BRD,CPI,2019-04-14,19:01,binance,BRD/BTC,2019-04-14T19:01:00Z,True,HEAD 200 BRDBTC-1m-2019-04.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),1,False
3,BLZ,CPI,2019-04-13,17:00,binance,BLZ/BTC,2019-04-13T17:00:00Z,True,HEAD 200 BLZBTC-1m-2019-04.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),1,False
4,SCRT,FCS,2018-03-31,16:18,yobit,SCRT/BTC,2018-03-31T16:18:00Z,False,HEAD 404 SCRTBTC-1m-2018-03.zip,False,code=200000 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),0,False
5,BNT,CPI,2019-09-09,20:00,binance,BNT/BTC,2019-09-09T20:00:00Z,True,HEAD 200 BNTBTC-1m-2019-09.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),1,False
6,EDO,CPI,2020-03-26,15:59,binance,EDO/BTC,2020-03-26T15:59:00Z,True,HEAD 200 EDOBTC-1m-2020-03.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),1,False
7,PPT,BPF,2020-08-04,18:00,binance,PPT/BTC,2020-08-04T18:00:00Z,True,HEAD 200 PPTBTC-1m-2020-08.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),1,False
8,VITE,CPI,2020-04-13,11:59,binance,VITE/BTC,2020-04-13T11:59:00Z,True,HEAD 200 VITEBTC-1m-2020-04.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),1,False
9,AOA,ATW,2019-04-07,17:00,yobit,AOA/BTC,2019-04-07T17:00:00Z,False,HEAD 404 AOABTC-1m-2019-04.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),0,False
10,BDL,FCS,2018-02-11,15:58,cryptopia,BDL/BTC,2018-02-11T15:58:00Z,False,HEAD 404 BDLBTC-1m-2018-02.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),0,False
11,SEL,ATW,2018-09-15,16:00,yobit,SEL/BTC,2018-09-15T16:00:00Z,False,HEAD 404 SELBTC-1m-2018-09.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),0,False
12,MDA,BPF,2021-01-03,17:00,binance,MDA/BTC,2021-01-03T17:00:00Z,True,HEAD 200 MDABTC-1m-2021-01.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),1,False
13,SNM,MPG,2019-08-07,16:59,binance,SNM/BTC,2019-08-07T16:59:00Z,True,HEAD 200 SNMBTC-1m-2019-08.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),1,False
14,PAI,ATW,2018-08-13,18:01,yobit,PAI/BTC,2018-08-13T18:01:00Z,False,HEAD 404 PAIBTC-1m-2018-08.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),0,False
15,ERC,PKG,2017-11-29,17:15,bittrex,ERC/BTC,2017-11-29T17:15:00Z,False,HEAD 404 ERCBTC-1m-2017-11.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),0,False
16,ING,ATW,2019-03-20,17:00,yobit,ING/BTC,2019-03-20T17:00:00Z,False,HEAD 404 INGBTC-1m-2019-03.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),0,False
17,MORE,CPS,2020-04-21,20:00,bittrex,MORE/BTC,2020-04-21T20:00:00Z,False,HEAD 404 MOREBTC-1m-2020-04.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),0,False
18,ICN,BPS,2018-01-15,16:59,binance,ICN/BTC,2018-01-15T16:59:00Z,True,HEAD 200 ICNBTC-1m-2018-01.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),1,False
19,WINGS,MPG,2019-01-27,17:59,binance,WINGS/BTC,2019-01-27T17:59:00Z,True,HEAD 200 WINGSBTC-1m-2019-01.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),1,False
20,DGD,BPS,2018-01-09,20:00,binance,DGD/BTC,2018-01-09T20:00:00Z,True,HEAD 200 DGDBTC-1m-2018-01.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),1,False
21,WPR,CW,2020-02-10,20:00,binance,WPR/BTC,2020-02-10T20:00:00Z,True,HEAD 200 WPRBTC-1m-2020-02.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),1,False
22,PASL,BPF,2018-06-13,18:00,cryptopia,PASL/BTC,2018-06-13T18:00:00Z,False,HEAD 404 PASLBTC-1m-2018-06.zip,False,code=400100 n=0,False,HTTP 400 INVALID_CURRENCY_PAIR,False,code=51001 n=0 (lookback limit likely),0,False
