symbol,vol30d,rank,included
BTCUSDT,26053682656.82518005,1,0
ETHUSDT,11436633905.50732231,2,0
SOLUSDT,2928962937.50620985,3,0
XRPUSDT,1675345218.24267006,4,0
BNBUSDT,1623107030.12102032,5,0
ZECUSDT,1514330068.13294005,6,0
BANKUSDT,1276964400.49444985,7,0
SNDKBUSDT,1163549912.97039199,8,0
DEXEUSDT,1002354198.43301010,9,0
RLUSDUSDT,968936694.24400008,10,0
REUSDT,943519079.73388994,11,0
AEROUSDT,920719009.92383003,12,0
DOGEUSDT,820134431.37462008,13,0
SPCXBUSDT,797783109.65112996,14,0
TRXUSDT,701568173.81324017,15,0
TUTUSDT,620595146.73934996,16,0
ADAUSDT,583557002.51112008,17,0
KITEUSDT,568830867.76556015,18,0
MMTUSDT,553833313.39484000,19,0
XAUTUSDT,551426066.89391601,20,0
UUSDT,478801720.27810001,21,0
NEARUSDT,470614299.95510000,22,0
EULUSDT,449717666.93660992,23,0
OPNUSDT,446909033.00835007,24,0
ERAUSDT,432060095.67777991,25,0
UNIUSDT,424291196.66861999,26,0
SKHYBUSDT,415230658.40272003,27,0
PEPEUSDT,414066739.60753030,28,0
MUBUSDT,406806269.13655996,29,0
BABYUSDT,402462062.44286001,30,0
SUIUSDT,390177171.63629007,31,0
MIRAUSDT,388690440.69450992,32,0
ONDOUSDT,376376898.18311018,33,0
WLDUSDT,374774278.78936011,34,0
PUMPUSDT,359599392.22840202,35,0
AAVEUSDT,345808460.83802998,36,0
LINKUSDT,336753389.86246002,37,0
LTCUSDT,331376105.46019995,38,0
SOXLBUSDT,318291181.23370999,39,0
ENAUSDT,315136287.41042799,40,0
VANAUSDT,302533791.08753002,41,0
TAOUSDT,292381551.31758988,42,0
AVAXUSDT,290989641.53889996,43,0
HEIUSDT,284348605.68577003,44,0
KAITOUSDT,279658066.38716996,45,0
BICOUSDT,276417395.69831920,46,0
ZAMAUSDT,276288063.28504002,47,0
HOMEUSDT,276097566.01778001,48,0
ALLOUSDT,271042797.67181998,49,0
XLMUSDT,246448642.80030006,50,0
